seed,N,M,K,T,stations,loop,time,memory,Score
0,50,54,16127,800,59,119,2901,143024,153067
1,50,156,14404,800,102,20,2901,208752,176254
2,50,80,16747,800,68,90,2900,117952,813309
3,50,577,19626,800,202,1,2906,527088,3030936
4,50,94,13464,800,83,199,2900,40192,35500
5,50,104,13081,800,88,47,2900,105024,80838
6,50,54,17583,800,60,110,2913,136320,193809
7,50,704,12111,800,198,1,2900,205616,316843
8,50,847,17387,800,205,0,2900,341376,3613385
